series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
11,The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospitalÕs surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",Drama~Medical Drama,Drama~Medical Drama,6180409
12,This Is Us,"From the writer and director of Crazy, Stupid, Love comes a smart, modern new dramedy that will challenge your everyday presumptions about the people you think you know.",Drama,Drama,1291075
13,Brooklyn Nine-Nine,"BROOKLYN NINE-NINE is an ensemble comedy about a talented-but-carefree detective, a by-the-book police captain and their precinct colleagues. While based in the workplace, the series is not really about the job _ itÕs about the men and women behind the badge.",Comedy,Comedy,5511858
14,Law & Order: Special Victims Unit,"This hard-hitting and emotional series from NBC's ""Law & Order"" brand chronicles the life and crimes of the Special Victims Unit of the New York City Police Department, an elite squad of detectives who investigate sexually based crimes. ",Drama~Crime and Courtroom Drama|Drama~Mystery,Drama~Crime and Courtroom Drama,7543538
15,MasterChef,"A culinary competition series that searches for the best home cooks in America, and through a series of exciting elimination rounds, will turn one of them into a culinary master.",Food~Cooking Competitions|Reality and Game Shows|Health and Wellness|Family,Food~Cooking Competitions,7180665
16,Will & Grace,"That's right, honey! A decade after their unforgettable eight-season run, comedy's most fabulous foursome is back. Eric McCormack, Debra Messing, Sean Hayes and Megan Mullally reprise their infamous roles as Will, Grace, Jack and Karen. The legendary James Burrows, director of every original ""Will & Grace"" episode, returns along with a slew of razor-sharp jabs and dirty martinis. Behold once again, from the minds of Max Mutchnick and David Kohan, TV's wittiest ensemble ever.",Comedy~Sitcoms,Comedy~Sitcoms,9198708
17,"Midnight, Texas","Welcome to a place where being normal is really quite strange. From Niels Arden Oplev, the visionary director of ""Mr. Robot,"" and based on the hit book series from author Charlaine Harris (""True Blood""), comes a journey into a remote Texas town where no one is who they seem. From vampires and witches to psychics and hit men, Midnight is a mysterious safe haven for those who are different. As the town members fight off outside pressures from rowdy biker gangs, ever-suspicious cops and their own dangerous pasts, they band together and form a strong and unlikely family. ",Drama,Drama,3178915
18,Family Guy,The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,Animation and Cartoons~Primetime Animation|Teen|Comedy~Sitcoms,Animation and Cartoons~Primetime Animation,4700020
19,The Mindy Project,"A single-camera comedy, starring Mindy Kaling, that follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life, as she pursues her dreams of becoming the perfect woman, finding the perfect man and getting her perfect romantic comedy ending.",Comedy~Sitcoms,Comedy~Sitcoms,638977
20,Adventure Time,"It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!",Kids|Animation and Cartoons|Teen,Kids,9361511
21,Marlon,"Loosely inspired by the real life of star Marlon Wayans (""In Living Color,"" ""Scary Movie""), this update to the classic family comedy centers on a loving (but immature) father committed to co-parenting his two kids with his very-together ex-wife. While his misguided fatherly advice, unstoppable larger-than-life personality and unpredictable Internet superstardom might get in the way sometimes, for Marlon, family really always does come first - even if he's the biggest kid of all.",Comedy~Sitcoms,Comedy~Sitcoms,4362086
22,The Voice,"Four famous musician coaches will each select singers to mentor into artists during the blind auditions. Once they have their teams, the star coaches will bring in their personal songwriters, producers, and high-powered friends to help their teams evolve. Ultimately, America will decide which singer will be worthy of the grand prize.",Reality and Game Shows~Competition|Music|Teen|Family,Reality and Game Shows~Competition,9744400
23,Boruto: Naruto Next Generations,"The life of the shinobi is beginning to change. Boruto Uzumaki, son of Seventh Hokage Naruto Uzumaki, has enrolled in the Ninja Academy to learn the ways of the ninja. Now, as a series of mysterious events unfolds, BorutoÕs story is about to begin!",International~Japanese|Anime~Anime - Action Adventure|Action and Adventure,International~Japanese,9163289
24,American Dad!,This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.,Comedy~Sitcoms|Animation and Cartoons~Primetime Animation,Comedy~Sitcoms,6620393
25,Empire,"From Academy Award nominee Lee Daniels (ÒLee DanielsÕ The Butler,Ó ÒPreciousÓ) and Emmy Award winner Danny Strong (ÒGame Change,Ó ÒLee DanielsÕ The ButlerÓ), comes EMPIRE, a sexy and powerful new drama about the head of a music empire whose three sons and wife all battle for his throne. Set to an original soundtrack written and produced by hip-hop hitmaker Timbaland, the family drama stars Academy Award nominee Terrence Howard (ÒCrash,Ó ÒHustle & FlowÓ) and Academy Award and Emmy Award nominee Taraji P. Henson (ÒPerson of Interest,Ó ÒThe Curious Case of Benjamin ButtonÓ).",Drama~Soap Operas|Music~Musicals,Drama~Soap Operas,6135066
26,Dancing With the Stars,"ABCÕs Dancing with the Stars is a spectacular reality competition that focuses on the glamorous and entertaining world of competitive dance. A cast of celebrities from music, TV, film and sports partner with professional dancers and week-to-week, try to impress the judges and the audience at home in order to be the last pair standing - and the ones who waltz away with the coveted mirrorball trophy.",Reality and Game Shows~Competition|Family,Reality and Game Shows~Competition,6732062
27,Seinfeld,"Emmy award-winning ""Seinfeld"" is one of the most popular shows on the air. Mining his rich comedic resources, Jerry Seinfeld provides a hysterical look at life as a single adult in the '90s. Along with a refreshing cast and top-notch writing, this series is quickly becoming a comedy classic.",Comedy~Sitcoms,Comedy~Sitcoms,9620047
28,Nashville,"A legendary queen of country music struggles to maintain her place in the spotlight while dealing with an ambitious rising pop-country vixen who wants to knock her off the throne. From executive producer Callie Khouri (writer of Thelma & Louise) comes this contemporary musical drama about love, power, money, family and music. ",Drama|Music~Musicals,Drama,1034181
29,Modern Family,"Today's American families come in all shapes and sizes. The cookie cutter mold of man + wife + 2.5 kids is a thing of the past, as it becomes quickly apparent in the bird's eye view of ABC's half-hour comedy, which takes an honest and often hilarious look at the composition and complexity of modern family life.",Comedy~Sitcoms|Teen|Family,Comedy~Sitcoms,2962752
30,The Simpsons,"This long-running animated comedy focuses on the eponymous family in the town of Springfield in an unnamed U.S. state. The head of the Simpson family, Homer, is not a typical family man. A nuclear-plant employee, he does his best to lead his family but often finds that they are leading him. The family includes loving, blue-haired matriarch Marge, troublemaking son Bart, overachieving daughter Lisa and baby Maggie. Other Springfield residents include the family's religious neighbor, Ned Flanders, family physician Dr. Hibbert, Moe the bartender and police chief Clancy Wiggum.",Comedy~Sitcoms|Animation and Cartoons~Primetime Animation,Comedy~Sitcoms,242034
31,The Bachelorette,"ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",Reality and Game Shows,Reality and Game Shows,4526945
32,Grey's Anatomy,"The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis _ it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in black and white. Real life only comes in shades of grey.",Drama~Medical Drama|Teen,Drama~Medical Drama,4368599
33,Saturday Night Live,NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,Comedy~Sketch Comedy|Comedy~Late Night Comedy,Comedy~Sketch Comedy,648305
34,My Hero Academia,"Despite being born powerless into a super-powered world, Izuku refuses to give up on his dream of becoming a hero. He enrolls himself in a prestigious hero academy with a deadly entrance exam. To make the grade, heÕll have to put in some serious study time with the mightiest hero of all.",International~Japanese|Anime~Anime - Comedy|Anime~Anime - Fantasy,International~Japanese,7866457
35,Doc McStuffins,"A magical animated series about a six-year-old girl, Doc McStuffins, who has the ability to talk to and heal toys and stuffed animals! With the help of her stuffed animal friends, Doc runs a clinic for toys out of her playhouse. The series emphasizes the importance of lending a helping hand, or paw, when people and toys need it most.",Animation and Cartoons|Kids,Animation and Cartoons,777880
36,The Tonight Show Starring Jimmy Fallon,"Join Jimmy Fallon for a daily mix of jokes, sketches, celebrity interviews and musical guests.",Comedy~Late Night Comedy,Comedy~Late Night Comedy,2384320
37,So You Think You Can Dance,"An unscripted series that searches for AmericaÕs favorite male and female dancer, in which some contestants will collapse under the pressure, some will reveal two left feet but only two will dance their way into the hearts of the nation.",Reality and Game Shows~Competition|Teen,Reality and Game Shows~Competition,666248
38,Keeping Up With the Kardashians,Keeping Up with the Kardashians takes viewers inside the hectic lives of Hollywood's modern-day Brady Bunch. Can two famous clans come together as one united front? Or will their individual lust for the limelight end up fracturing the family?,Reality and Game Shows~Real Life Drama|Teen,Reality and Game Shows~Real Life Drama,2205834
39,The Amazing World of Gumball,"GumballÕs world is pretty run-of-the-mill. HeÕs chased around school by a T-Rex. He has a friend named Anton whoÕs a piece of toast. HeÕs got a crush on Penny, a peanut with antlers. His dad is a 6Õ4Ó bunny. His mom works at a Rainbow Factory. And his brother is a goldfish named Darwin. Yup, everything looks perfectly normal here.",Kids|Animation and Cartoons|Family|Teen,Kids,356110
40,Kitchen Nightmares,An unscripted series in which Gordon Ramsay attempts to turn deserted restaurants into the most sought-after venues in town.,Reality and Game Shows~Real Life Drama|Food|Family,Reality and Game Shows~Real Life Drama,6817226
41,Casual,"From the Academy Award Nominated Director of ÒUp in the AirÓ and ÒJunoÓ comes Casual, a new comedy series about a bachelor brother and his newly divorced sister living under one roof again. Together, they coach each other through the crazy world of dating while raising her teenage daughter. Created by Zander Lehmann, Casual is executive produced by Jason Reitman, Zander Lehmann, Helen Estabrook, and Liz Tigelaar.",Comedy,Comedy,9286500
42,The Mayor,"Young rapper Courtney Rose needs his big break. For years, heÕs toiled away in a small inner-city apartment, making music in his junk-filled bedroom closet. Tired of waiting for opportunity to knock, Courtney cooks up the publicity stunt of the century _ running for mayor of his California hometown, Fort Grey, to generate buzz for his music career. But his master plan goes wildly awry, ending in the most terrifying of outcomes: an election victory.",Comedy~Sitcoms,Comedy~Sitcoms,4443841
43,Broad City,"A bottle of wine tastes just as good when you pay with all pennies. That's a fact. And no matter what the city throws at twenty-somethings Abbi and Ilana, these broads are all in. Catch the totally fresh, new series based on the acclaimed digital shorts.",Comedy,Comedy,9132409
44,Power,"Executive Producer Curtis ""50 Cent"" Jackson presents the hit drama Power, centered on a drug kingpin struggling to go from illegal to legitimate in the NYC nightlife.",Drama,Drama,4551275
45,Better Things,"Award-winning FX comedy series Better Things, created by Louis C.K. and Pamela Adlon, centers on a single mom and actress trying to raiser her three daughters in Los Angeles.",Drama|Comedy,Drama,9395968
46,Workaholics,"College is over but the party isnÕt. Join three best buds as they share a job, a crash pad and a promise to never let work get in the way of a good timeÑon this raucously original series.",Comedy,Comedy,5765288
47,Regular Show,"Mordecai _ a sarcastic blue jay, and Rigby _ a somewhat responsible raccoon, are best friends. They even work together at a park owned by Pops, a big lollipop-headed guy. Which seems normal enough. TheyÕve got a cranky gumball machine for a boss and they work alongside a Zen-like yeti named Skips. Yep. Everything is as regular as can be.",Kids|Animation and Cartoons|Teen,Kids,3875474
48,Difficult People,"Difficult People hails from Julie Klausner who stars alongside Emmy¨-nominated Billy on the Street host Billy Eichner. As best friends living in New York City, their typical, irreverent behavior lands them in some very awkward situations. ",Comedy,Comedy,1753107
49,Full House (1987),"Comedian Bob Saget stars in this heartfelt comedy series as Danny, a widowed father raising three young daughters with the help of his rebel brother-in-law (John Stamos) and offbeat best bud (Dave Coulier). Living under one roof, these friends experience the trials of parenthood along with their fair share of laughs and life lessons.",Comedy~Sitcoms|Family,Comedy~Sitcoms,24258
50,Naruto Shippuden,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy.  Now that boy, Naruto, has grown up to become a hyperactive ninja-in-training who's more interested in pranks than schoolwork...but Naruto is determined to become the greatest ninja ever!",Anime~Anime - Action Adventure|Action and Adventure|International~Japanese,Anime~Anime - Action Adventure,3505832
51,WWE Monday Night Raw,"This 90 minute version of the longest running episodic television show in history thrills the WWE Universe, as the Superstars of RAW excite with amazing matches and unforgettable moments.",Sports~Fighting and Martial Arts,Sports~Fighting and Martial Arts,3231138
52,Chopped,"Passion and expertise rule the kitchen on the fast-paced new series, Chopped. Hosted by Ted Allen (Food Detectives), the series challenges four up-and-coming chefs to turn a selection of everyday ingredients into an extraordinary three-course meal. After each course, a contestant gets ""chopped"" until the last man or woman left standing claims victory.",Food~Cooking Competitions|Family,Food~Cooking Competitions,8269405
53,The Golden Girls,"The Golden Girls is the story of four older women who share a house in Miami Beach, Florida. Bea Arthur plays Dorothy, a divorced school teacher, with a sardonic wit. Rue McClanahan plays Blanche, a man-hunting Southern Belle. Betty White plays Rose, a very sweet woman who is somewhat spacey. Rounding out the trio is Estelle Getty, playing Dorothy's outspoken mother, Sophia. ",Classics|Comedy~Sitcoms,Classics,4592509
54,Shadowhunters,"Clary Fray finds out on her 18th birthday that she is not who she thinks she is but rather comes from a long line of Shadowhunters--human-angel hybrids who hunt down demons. When her mother Jocelyn is kidnapped, Clary is thrown into the world of demon hunting with mysterious Shadowhunter Jace and her best friend, Simon. Now living among faeries, warlocks, vampires and werewolves, Clary begins a journey of self-discovery as she learns more about her past and what her future may hold.",Drama|Science Fiction|Horror and Suspense~Paranormal,Drama,8973355
55,Black-ish,"Andre 'Dre' Johnson has a great job, a beautiful wife, Rainbow, four kids, and a colonial home in the 'burbs. But has success brought too much assimilation for this black family?",Comedy~Sitcoms|Family,Comedy~Sitcoms,9352429
56,The Mick,A two-bit hustler must assume guardianship of her sister's three high-maintenance children.,Comedy,Comedy,3473138
57,Family Matters,"What matters most? Family, of course! Over its nine hit seasons, Family Matters brings us a hilarious slice of middle-class Americana -- along with one of TV's wackiest characters, nerdy genius Steve Urkel. The extended Winslow family redefines the word ""togetherness"" as their home splits at the seams with chaos, confusion and laughter.",Comedy~Sitcoms|Family,Comedy~Sitcoms,2899732
58,Celebrity Family Feud,Celebrity Family Feud hosted by Steve Harvey pits celebrities against each other in a contest to name the most popular responses to a survey-type question posed to 100 people.,Reality and Game Shows,Reality and Game Shows,6734759
59,Game of Thrones,The epic HBO drama series based on the acclaimed book series 'A Song of Ice and Fire' by George R.R. Martin.,Drama,Drama,6333888
60,Doomsday Preppers,"Seemingly normal and average American families with fears ranging from economic downfall, global monetary disaster, coronal mass ejection, nuclear and terrorist attacks, prepare for their ultimate fear and doomsday.",Documentaries,Documentaries,8935638
61,The Goldbergs,"The Goldbergs are a loving family like any other, just with a lot more yelling, but for geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy.",Comedy~Sitcoms|Family,Comedy~Sitcoms,513947
62,Ghosted,"A cynical skeptic (Craig Robinson), and a genius Òtrue believerÓ in the paranormal (Adam Scott) are recruited by a secret government agency to look into the rampant ÒunexplainedÓ activity in Los Angeles _ all while uncovering a larger mystery that could threaten the existence of the human race.",Comedy|Horror and Suspense~Paranormal,Comedy,4307626
63,Key & Peele,"Tired of watching just one comedian at a time? Get a pair. Catch sketch comedy masters and best friends Keegan-Michael Key and Jordan Peele for a half hour of irreverent wit, pop-culture impressions and escalating absurdity.",Comedy~Sketch Comedy,Comedy~Sketch Comedy,1329105
64,Drunk History,History is written by the victors but told best by the totally wasted -- on this wildly inappropriate (and maybe just a little inaccurate) series where well-lubricated comics tell famous American tales and celebrity guests act them out.,Comedy,Comedy,5745610
65,WWE SmackDown,DonÕt miss a second as the Superstars of SmackDown Live deliver over-the-top action and remarkable moments to the WWE Universe.,Sports~Fighting and Martial Arts,Sports~Fighting and Martial Arts,2457739
66,Curious George,"For nearly 65 years, generations of young children have been charmed by the literary adventures of Curious George. Now George is ready for his next big adventure! Based on the best-selling Curious George books by Margret and H.A. Rey, the series expands GeorgeÕs world to include a host of colorful new characters and original locales, while maintaining the charm of the beloved books. The series aims to inspire kids to explore science, math, and engineering in the world around them.",Kids|Comedy|Animation and Cartoons,Kids,866297
67,Shark Tank,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive.",Reality and Game Shows~Real Life Drama|Family,Reality and Game Shows~Real Life Drama,9796787
68,Teen Titans Go!,"From Warner Bros. Animation, these teen titans are on the go! Right after they make a sandwich or play some video games. Wait, there's laundry to do? (""Not it!"") After that, they'll definitely go fight some crime. Maybe. Don't miss the return of Robin, Starfire, Raven, Beast Boy and Cyborg - teen super heroes who are totally unsupervised!",Kids|Animation and Cartoons|Action and Adventure,Kids,6555596
69,Stan Against Evil,"172 demons have been unleashed on the residents of Williard's Mill as payback for a massive witch-burning hundreds of years ago. Evie, the new sheriff in town, needs to work with the former sheriff, Stan Miller, who was forced to retire.",Comedy,Comedy,7264558
70,Gotham,"Revealing an entirely new chapter that has never been told, in the rise of the great DC Comics Super-Villains and vigilantes, GOTHAM follows one cop, destined for greatness, as he navigates a dangerously corrupt city teetering between good and evil, and chronicles the birth of one of the most popular super heroes of our time.",Drama,Drama,6302785
71,Fixer Upper,Design and remodeling pros Chip and Joanna Gaines convince home buyers to buy the worst house on the block and make it beautiful. They then help transform the diamond in the rough into the home of their client's dreams.,Lifestyle~Home and Garden|Family,Lifestyle~Home and Garden,8218761
72,The Good Place,"From Michael Schur, executive producer of ""Brooklyn Nine-Nine"" and ""Parks and Recreation"" comes a smart, unique new comedy that follows Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the afterlife where she comes to realize that she hasn't been a very good person.",Comedy~Sitcoms,Comedy~Sitcoms,5983781
73,Law & Order True Crime: The Menendez Murders,"Starring the incomparable Emmy and Golden Globe Award-winning Edie Falco (""The Sopranos,"" ""Nurse Jackie""), this new eight-episode true-crime installment of the powerhouse ""Law & Order"" franchise delivers a gripping in-depth dramatization of the notorious murder case that changed America forever. When the Menendez brothers were tried on national TV for brutally killing their parents in Beverly Hills, their story became a national obsession. The first edition of this anthology series delves into the players, the crime and the media circus, detailing the day-to-day battles of the trial and unveiling the shocking truth of what really went down when the cameras stopped rolling.",Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,1315784
74,Superstore,"Revolving around a group of employees at a big-box store, it examines love, friendship, and the beauty of everyday moments.",Comedy~Sitcoms|Family,Comedy~Sitcoms,3721214
75,Hollywood Game Night,"Hollywood Game Night is a new hour-long game show series from Emmy Award-winning actor/producer Sean Hayes, based on his real-life game nights. Each episode will feature A-list celebrities hanging out and living it up in a cocktail party atmosphere. Emmy and Golden Globe winner Jane Lynch will serve as host.",Reality and Game Shows~Competition,Reality and Game Shows~Competition,3997883
76,Parks and Recreation,"Leslie Knope takes on the system in Pawnee, IN.",Comedy~Sitcoms,Comedy~Sitcoms,4869602
77,Steven Universe,"Steven Universe is about the misadventures of a boy named Steven, the ultimate ""little brother"" to a team of magical guardians of humanityÑthe Crystal Gems. Steven may not be as powerful as the Crystal Gems. Or as savvy. But that doesn't stop him from joining Garnet, Amethyst and Pearl on their magical adventures and somehow finding a way to save the day!",Comedy|Kids|Teen,Comedy,4447
78,Rugrats,"See life from the ground up with Tommy, Chuckie, Susie, Lil, Phil, and the hardly angelic, Angelica. Usually led by fearless leader Tommy, the Rugrats turn the ordinary into the extraordinary and every day into the perfect setting for adventure!",Animation and Cartoons~Saturday Morning Cartoons|Kids,Animation and Cartoons~Saturday Morning Cartoons,835561
79,Attack on Titan,"From the director of Death Note comes Attack on Titan. Many years ago, humanity was forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. This is their story.",Anime~Anime - Fantasy|International~Japanese,Anime~Anime - Fantasy,401396
80,Gravity Falls,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer with their great uncle in the mysterious town of Gravity Falls, Oregon. Upon their arrival, Dipper and Mabel's huckster great uncle, also known as Grunkle Stan, enlists the siblings' help in running The Mystery Shack, a fun tourist trap he owns that overcharges unsuspecting customers. Although Dipper and Mabel quickly discover The Mystery Shack itself is a hoax, they sense there is something strange about their new town and together they begin to unlock the secrets of Gravity Falls.",Animation and Cartoons|Kids,Animation and Cartoons,3435257
81,The Venture Bros.,"The Venture Brothers are two all-American teens who spend most their time hopping from one adventure to the next.  Along with their caustic and self-centered father, Dr. Venture, the brothers have the uber-spy Brock Samson to protect them.  Beset on all sides, the Venture Brothers do all they can just to make it out alive.",Animation and Cartoons~Primetime Animation|Comedy,Animation and Cartoons~Primetime Animation,270575
82,Younger,"40-year-old Liza (Sutton Foster) passes herself off as 26 to land a job in the field of her dreams. Now she just has to make sure no one discovers her secret. Also stars Hilary Duff, Debi Mazar, Nico Tortorella and Miriam Shor.",Comedy|Drama|Teen,Comedy,1274490
83,The Cleveland Show,"Everyone's favorite soft-spoken neighbor Cleveland Brown moves to his hometown in Virginia with his 14-year old son, Cleveland JR. Many years ago, Cleveland was a high school student madly in love with a beautiful girl named Donna. Much to his dismay, his love went unrequited, and Donna wound up marrying another man. Cleveland once told Donna he would always love her, and if this man ever done her wrong, he'd be there when she called. Well, this man done her wrong.",Animation and Cartoons~Primetime Animation|Comedy~Sitcoms,Animation and Cartoons~Primetime Animation,6825125
84,Community,"Disbarred lawyer Jeff Winger enrolls in a local community college. While there, he forms a study group who eventually learn more about themselves than their course work.",Comedy,Comedy,8416088
85,The New Hulu Experience,Get ready to see TV in a whole new way. WeÕre redesigning Hulu to give you the best watching experience yet.,News and Information~Science and Technology,News and Information~Science and Technology,9570903
86,World of Dance,"NBCÕs new dance competition series ÒWorld of DanceÓ is led by a judging team of extraordinary dance superstars - Jennifer Lopez (who also serves as an executive producer), Derek Hough, NE-YO and host/mentor Jenna Dewan Tatum.  The 10-episode series from will give dancers the platform to showcase their talents and the opportunity to receive a life-altering grand prize of $1 million.  The series brings the worldÕs elite dancers together to compete in epic battles of artistry, precision and athleticism. Solo dancers will compete against duos and crews in an unlimited range of dance, including hip-hop, popping, locking, tap, ballet, break dancing, ballroom, stomping and more.",Reality and Game Shows~Competition,Reality and Game Shows~Competition,6034169
87,The Bold Type,"The Bold Type reveals a glimpse into the outrageous lives and loves of those responsible for the global women's magazine, ""Scarlet."" The rising generation of Scarlet women leans on one another as they find their own voices in a sea of intimidating leaders. Together they explore sexuality, identity, love and fashion.",Drama,Drama,5505497
88,Designated Survivor,"A lower-level cabinet member unexpectedly becomes president after a devastating attack on Washington. He will struggle to prevent the country and his own family from falling into chaos, as he is thrust into one of the most difficult presidencies in history.",Drama,Drama,7412112
89,American Housewife,"A confident, unapologetic wife and mother of three, raises her flawed family in the wealthy town of Westport, Connecticut, filled with ""perfect"" mommies and their ""perfect"" offspring.",Comedy~Sitcoms|Family,Comedy~Sitcoms,6533330
90,Lucifer,"The Devil has come to Los AngelesÉBased upon the characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg for DC EntertainmentÕs Vertigo imprint, LUCIFER is the story of the original fallen angel. Bored and unhappy as the Lord of Hell, LUCIFER MORNINGSTAR (Tom Ellis has abandoned his throne and retired to L.A., where he owns Lux, an upscale nightclub.  Charming, charismatic and devilishly handsome, Lucifer is enjoying his retirement, indulging in a few of his favorite things _ wine, women and song _ when a beautiful pop star is brutally murdered outside of Lux. For the first time in roughly 10 billion years, he feels something awaken deep within him as a result of this murder. Compassion? Sympathy? The very thought disturbs him _ as well as his best friend and confidante, MAZIKEEN aka MAZE (Lesley-Ann Brandt), a fierce demon in the form of a beautiful young woman.",Drama,Drama,6969552
91,Stitchers,"Stitchers follows Kirsten, a young woman recruited into a covert government agency to be 'stitched' into the minds of the recently deceased, using their memories to investigate murders and decipher mysteries that otherwise would have gone to the grave. Working alongside Kirsten is Cameron, a brilliant neuroscientist whose passion for the program is evident in his work. The secret program is headed by Maggie, a skilled veteran of covert operations, and includes Linus, a socially immature bioelectrical engineer and communications technician. Kirsten's roommate, Camille, a gifted computer science grad student, is also recruited to use her skills to assist Kirsten in her new role as a 'stitcher.'",Drama|Family,Drama,4866984
92,Marvel's Inhumans,"The highly anticipated television series Marvel's Inhumans will bring the fan-favorite comic book series and a new kind of family drama to the small screen this fall on ABC. The Inhumans, a race of superhumans with diverse and singularly unique powers, were first introduced in Marvel Comics by Stan Lee and Jack Kirby in 1965. Since that time, they have grown in prominence and become some of the most popular and iconic characters in the Marvel Universe. Marvel's Inhumans will explore the never-before-told epic adventure of Black Bolt and the royal family.",Science Fiction~Science Fiction - Thriller|Action and Adventure,Science Fiction~Science Fiction - Thriller,6916770
93,Vikings,The name Viking is synonymous with extreme violence and terror. But few people know what it was really like to live in the world of the Viking.  This scripted drama will use real characters from history to humanize the Viking and authentically re-create the Viking Age.,Action and Adventure~Military and War,Action and Adventure~Military and War,2895728
